pdpass,invnum_n,"dateincorporated",yearStartup
10583929,41119381,"1981-07-24",1981
11958182,41182501,"1996-12-24",1996
13222386,41182501,"2005-02-01",2005
12858440,41186451,"2002-09-10",2002
12516729,41199091,"2000-05-15",2000
11982521,41211211,"1993-12-14",1993
11079714,41218812,"1989-05-05",1989
11643295,41243881,"1986-09-11",1986
10862518,41248241,"1983-07-18",1983
12835013,41268322,"1997-04-29",1997
11770563,41284354,"1991-09-25",1991
12631969,41387201,"1999-12-29",1999
12895752,41397312,"1999-02-26",1999
13171417,41449261,"2003-05-30",2003
12915052,41472941,"1999-02-02",1999
10044791,41503191,"1993-11-24",1993
12653105,41503681,"1998-01-02",1998
11002272,41514862,"1987-06-04",1987
11068300,41514862,"1987-06-04",1987
11813954,41514862,"1993-08-10",1993
12628351,41515402,"2001-09-19",2001
11935187,41525081,"1993-12-10",1993
13217477,41538431,"2002-05-15",2002
11023442,41553312,"1988-09-07",1988
10938442,41623511,"1988-02-02",1988
11555903,41631241,"1989-10-19",1989
11864521,41636572,"1989-08-08",1989
12343098,41640174,"1997-05-07",1997
13126979,41643631,"1997-12-15",1997
11138349,41656421,"1987-10-08",1987
13215514,41672131,"2003-03-06",2003
11666242,41695431,"1983-01-10",1983
12791068,41704923,"2000-05-17",2000
12433054,41732212,"1998-07-31",1998
11765039,41739541,"1996-08-21",1996
12259521,41751011,"1998-03-10",1998
11324740,41811352,"1986-07-17",1986
12177584,41860023,"1996-09-10",1996
12210492,41861832,"1997-01-23",1997
11608818,41868374,"1994-04-13",1994
10801603,41908602,"1982-09-10",1982
11310628,41914565,"1992-07-24",1992
11368454,41916681,"1989-05-02",1989
11651066,41919192,"1992-12-21",1992
12710702,41928691,"2000-03-07",2000
12112164,41949931,"1998-07-30",1998
11791637,42008271,"1993-03-22",1993
11014429,42018904,"1988-04-26",1988
11419665,42030782,"1987-10-15",1987
12806963,42037662,"2001-06-01",2001
11667251,42041421,"1992-10-20",1992
11659487,42042661,"1993-03-30",1993
12177261,42046042,"1994-08-30",1994
11736026,42119441,"1987-06-19",1987
11238983,42131802,"1988-09-23",1988
11832676,42136201,"1987-11-23",1987
12042444,42151081,"1992-10-26",1992
11893281,42161463,"1996-02-28",1996
12163235,42212991,"1997-09-18",1997
12127550,42246311,"1997-01-02",1997
12205016,42263571,"1999-01-11",1999
12542276,42285131,"1997-04-07",1997
12636276,42298941,"1992-09-11",1992
12342548,42334211,"1996-07-25",1996
12711231,42348491,"2000-12-07",2000
12028811,42370831,"1996-07-02",1996
10319962,42401612,"1978-02-03",1978
10044791,42458821,"1993-11-24",1993
12510680,42504671,"2000-04-03",2000
11913411,42521171,"1985-05-10",1985
11315033,42521581,"1993-02-03",1993
12638087,42529871,"2001-06-08",2001
10866177,42540041,"1985-09-06",1985
11328985,42552672,"1992-03-26",1992
12093818,42572698,"1996-09-12",1996
11430795,42592201,"1989-05-25",1989
12560733,42596831,"2001-03-26",2001
11002272,42599881,"1987-06-04",1987
12146145,42605502,"1993-06-14",1993
10112269,42606021,"1973-09-07",1973
13182655,42613682,"2003-04-24",2003
12321084,42626852,"1998-07-28",1998
11290028,42681151,"1990-01-16",1990
13182692,42692521,"2004-05-11",2004
11854409,42709861,"1995-09-29",1995
12998415,42715012,"1999-10-18",1999
11887563,42746572,"1995-01-10",1995
12180163,42757301,"1997-06-26",1997
12456022,42777211,"2000-06-12",2000
12639077,42777832,"1998-08-12",1998
13051819,42788303,"2002-12-09",2002
11803897,42801073,"1992-11-16",1992
12722041,42805021,"1987-12-09",1987
11868501,42843513,"1989-02-13",1989
11875312,42844061,"1990-07-25",1990
12049298,42862404,"1996-07-15",1996
12698132,42875152,"1999-10-05",1999
12558185,42909872,"1997-09-10",1997
12149783,42934152,"1998-03-05",1998
12700587,42963201,"2000-08-31",2000
11161036,43027031,"1988-07-18",1988
11656406,43027031,"1995-04-27",1995
13115544,43061961,"2001-10-24",2001
11864228,43063131,"1994-05-12",1994
11463890,43108451,"1991-08-27",1991
11737654,43150441,"1993-11-24",1993
11753054,43200243,"1995-03-28",1995
11122011,43228241,"1983-12-22",1983
11944243,43278501,"1996-02-09",1996
11211451,43295981,"1984-09-27",1984
13168109,43295981,"1996-08-19",1996
11727891,43352812,"1993-10-21",1993
11447172,43364662,"1992-04-06",1992
11993838,43391741,"1995-03-08",1995
11320683,43419991,"1990-08-22",1990
13025000,43420982,"2004-05-04",2004
12013874,43423081,"1992-07-17",1992
11436860,43441302,"1988-02-03",1988
12484683,43449911,"1995-08-18",1995
12923493,43485531,"2001-02-26",2001
10937770,43511211,"1988-03-10",1988
11256184,43523181,"1988-07-01",1988
10867308,43533913,"1984-11-27",1984
12066212,43628093,"1994-07-12",1994
12444860,43628093,"1997-02-24",1997
10971491,43649932,"1985-06-05",1985
12039719,43676482,"1997-03-31",1997
12742060,43702782,"2000-09-26",2000
11137166,43707111,"1973-02-02",1973
12080726,43714332,"1996-08-16",1996
11290556,43758131,"1990-03-21",1990
10995446,43772612,"1993-10-04",1993
11976399,43788531,"1995-01-09",1995
12377211,43797202,"1999-04-21",1999
12032708,43799373,"1995-08-03",1995
12305263,43821353,"1998-05-04",1998
11310628,43826581,"1992-07-24",1992
11910956,43830993,"1995-05-18",1995
13219689,43869482,"2004-02-11",2004
11125408,43886201,"1990-05-22",1990
12489507,43886201,"1997-03-10",1997
10972557,43895331,"1983-05-25",1983
12151038,43900231,"1994-01-10",1994
11249467,43901111,"1988-03-10",1988
13146356,43920911,"2004-12-03",2004
10796727,43929351,"1985-12-09",1985
10843265,43965392,"1986-06-05",1986
13240567,43978892,"2004-06-01",2004
11554710,43982701,"1989-03-27",1989
10682166,43986211,"1983-10-20",1983
13165569,44020081,"2001-04-24",2001
12695996,44023141,"1994-04-05",1994
13057575,44048401,"2002-10-11",2002
12115676,44091393,"1997-08-06",1997
12558841,44095501,"1999-11-08",1999
12269354,44115121,"1998-03-11",1998
12005673,44123101,"1996-01-18",1996
11692664,44123861,"1989-07-10",1989
11671601,44181352,"1986-11-12",1986
12174688,44185761,"1995-03-22",1995
12163235,44220461,"1997-09-18",1997
11875312,44224331,"1990-07-25",1990
11407097,44226733,"1992-12-11",1992
12376800,44226733,"1998-02-19",1998
12794073,44233712,"2001-06-20",2001
13089697,44276991,"2003-12-03",2003
11353668,44319812,"1985-08-20",1985
11196271,44333441,"1989-05-11",1989
11791063,44340101,"1988-10-28",1988
11914693,44342611,"1995-12-29",1995
12397024,44380292,"1997-10-31",1997
10542488,44424881,"1977-06-29",1977
12055025,44431331,"1997-09-23",1997
10962122,44432391,"1986-03-26",1986
10971491,44435661,"1985-06-05",1985
11311816,44459662,"1990-07-20",1990
12867895,44473562,"1997-04-08",1997
12344647,44477381,"2000-01-05",2000
11069058,44531882,"1987-02-09",1987
11187996,44531882,"1990-04-19",1990
11859918,44531882,"1994-04-27",1994
10554623,44546231,"1983-03-01",1983
11294111,44550372,"1989-04-26",1989
12475674,44552302,"1998-05-21",1998
13084902,44556411,"2002-04-09",2002
11514077,44580662,"1987-06-22",1987
12771756,44583302,"2000-03-07",2000
12106361,44612902,"1995-06-16",1995
12273781,44660671,"1998-12-18",1998
10373953,44672581,"1977-10-24",1977
11790831,44685771,"1993-03-30",1993
13070183,44703563,"2000-10-02",2000
12066330,44764761,"1996-01-03",1996
12909608,44824451,"2002-02-04",2002
10945385,44829531,"1987-09-10",1987
11372513,44836141,"1990-04-10",1990
13199399,44868461,"2003-02-28",2003
11072507,44892221,"1988-03-08",1988
12953840,44892222,"2002-01-29",2002
11692645,44894822,"1994-08-29",1994
11160905,44923931,"1989-09-25",1989
12390332,44931041,"1997-10-27",1997
12171447,44937011,"1994-01-01",1994
11615380,44956481,"1995-10-12",1995
12851474,44956481,"2000-09-13",2000
11944243,44980481,"1996-02-09",1996
13096628,44984022,"1999-12-02",1999
11769530,44988991,"1992-09-03",1992
13149715,44997361,"1999-03-31",1999
12825885,44998421,"2000-06-20",2000
12550431,45026471,"1998-04-20",1998
12969638,45074531,"1987-05-08",1987
12340682,45082771,"1997-05-21",1997
12256105,45086882,"1989-06-14",1989
11301956,45087601,"1991-03-28",1991
11934261,45186921,"1996-01-16",1996
12592179,45222092,"1999-02-12",1999
11866624,45228035,"1981-08-06",1981
11791063,45249531,"1988-10-28",1988
11281949,45280174,"1991-06-07",1991
11286424,45319163,"1991-04-17",1991
10900402,45323761,"1987-10-05",1987
11734770,45376242,"1992-12-09",1992
10900402,45395742,"1987-10-05",1987
11498241,45395961,"1989-07-27",1989
11033612,45410261,"1987-10-19",1987
10625766,45434572,"1982-04-02",1982
12566133,45464881,"1999-07-15",1999
11372432,45504241,"1990-03-08",1990
13079563,45515342,"2001-09-18",2001
11790831,45527212,"1993-03-30",1993
11626445,45532061,"1994-01-28",1994
11087481,45545812,"1989-04-28",1989
12455895,45569533,"1996-01-12",1996
12483182,45572271,"1997-02-21",1997
12285444,45582791,"1997-03-14",1997
12965370,45596252,"2003-02-14",2003
11012586,45601811,"1989-04-27",1989
12026419,45620943,"1997-12-04",1997
11819024,45647611,"1994-03-02",1994
11819024,45647612,"1994-03-02",1994
11177756,45659666,"1991-03-19",1991
12535434,45683931,"1987-10-23",1987
11589879,45688861,"1994-07-15",1994
12863389,45702175,"2001-10-31",2001
